text_id,x_pca_tfidf,y_pca_tfidf,x_tsne_tfidf,y_tsne_tfidf,x_pca_openai_ada_002,y_pca_openai_ada_002,x_tsne_openai_ada_002,y_tsne_openai_ada_002,x_pca_openai_3_small,y_pca_openai_3_small,x_tsne_openai_3_small,y_tsne_openai_3_small,author_id,year,author
0,0.1719079532197264,0.35320059686950267,0.079921395,0.5184259,0.12607219512362822,0.5625981576248328,0.23356697,0.93423235,0.12496517561627796,0.6005781726830061,0.9046207,0.46721876,0,1790,George Washington
1,0.05454919798129393,0.37103299862471834,0.13588709,0.60896033,0.17295506277506117,0.4546530395044365,0.23667121,0.9663873,0.13700464165265724,0.47753131093751705,0.89548516,0.49600044,0,1791,George Washington
2,0.10271410817023863,0.40265157373140364,0.13377085,0.6306561,0.16729021554665852,0.5258832053507813,0.22040948,0.96664965,0.13980468301721294,0.5277473529443644,0.90904677,0.49172476,0,1792,George Washington
3,0.1251863221447882,0.35726251465789777,0.11677539,0.57043666,0.12688399881187645,0.6284365832655561,0.1889463,0.96767163,0.1390935338563467,0.6334005743649859,0.9199843,0.47585738,0,1793,George Washington
4,0.10566776555920171,0.3413490520204099,0.1031439,0.59415627,0.14583231359007504,0.6525685529971944,0.18906501,1.0,0.18087102331615862,0.7125167580094195,0.94585764,0.48910025,0,1794,George Washington
5,0.19060001976621144,0.39148778315093685,0.061311275,0.5058029,0.17284599252853555,0.6561802716597143,0.19557765,0.9378375,0.1783134987685832,0.6785984419506907,0.9275782,0.46381918,0,1795,George Washington
6,0.09591968275779567,0.42154781999123847,0.103385955,0.5531247,0.14546614393773039,0.592494224266036,0.19783738,0.87073255,0.12372054052869691,0.6032227165829163,0.9111943,0.4190414,0,1796,George Washington
7,0.13968118131878932,0.3732564263447786,0.15210596,0.45479453,0.06991780608906367,0.7060206257270496,0.14343157,0.91083246,0.08009111725766194,0.6905721899212355,0.90391636,0.36219788,1,1797,John Adams
8,0.15680888062198278,0.38956456617040497,0.0903905,0.48171422,0.11721102680805912,0.6641099913129574,0.13323054,0.89397836,0.09438860900254231,0.6430464745761204,0.91648406,0.37499577,1,1798,John Adams
9,0.12142681964844793,0.3785516975870754,0.13127723,0.4711575,0.1027922395254311,0.6618549288965729,0.14616528,0.93223464,0.13035187413763333,0.6628263302939355,0.89750516,0.3521019,1,1799,John Adams
10,0.1923850117925603,0.37951612384247785,0.0763073,0.54535204,0.23111891977748394,0.6358453031691834,0.21588016,0.89782214,0.22551007558345054,0.6406570516037025,0.880604,0.4668134,1,1800,John Adams
11,0.265902542584304,0.3642063787871289,0.05350837,0.5669031,0.12200601079437545,0.4914209984648534,0.25581425,0.90654624,0.18131185079318368,0.5477605503912315,0.8344974,0.36306053,2,1801,Thomas Jefferson
12,0.2648832876854791,0.3942215600808058,0.040129393,0.5502513,0.12124886798063567,0.5240783743091938,0.23238117,0.76960826,0.16059760435754228,0.5584897328702491,0.83996725,0.3625803,2,1802,Thomas Jefferson
13,0.22333805831984027,0.3681861838805656,0.0057254136,0.52932066,0.0830989869629617,0.6660999778385419,0.12298453,0.7924061,0.11714875189973584,0.6985595364931029,0.9574661,0.43990922,2,1803,Thomas Jefferson
14,0.1945337268380805,0.3727240238973146,0.0,0.55303097,0.07027588839521781,0.6872816682111182,0.12793672,0.81540847,0.05732942494102389,0.692435177965747,0.95031905,0.43026313,2,1804,Thomas Jefferson
15,0.22080341267915038,0.3897790994192121,0.016228288,0.55127525,0.08259952684514926,0.7140823139802145,0.10980767,0.8253583,0.10451151170324197,0.7221401346828609,0.9554637,0.41697472,2,1805,Thomas Jefferson
16,0.18719209936552994,0.35829047904141864,0.057910055,0.5888941,0.10798091627393758,0.6360738117105045,0.15082473,0.83071697,0.10574208160731208,0.6775489118862579,0.93323445,0.42896062,2,1806,Thomas Jefferson
17,0.22592714665405172,0.3330556244715188,0.028393388,0.58555603,0.06373302919596618,0.7425010792646045,0.10498452,0.8578224,0.07600367621978998,0.7492553989049339,0.94841874,0.3981459,2,1807,Thomas Jefferson
18,0.12926219608170703,0.3654762624466723,0.03521651,0.5224908,0.08554569290689423,0.6670425667261572,0.10915482,0.86865085,0.10719822362123987,0.6726736918625904,0.9414842,0.3951109,2,1808,Thomas Jefferson
19,0.10888086293532029,0.3487072613658428,0.09825435,0.45371497,0.05587043693454924,0.6738006575104445,0.09565312,0.8994112,0.07622408212386944,0.6812624229482479,0.94164854,0.37086734,3,1809,James Madison
20,0.03701000352948447,0.44457682169434837,0.12523657,0.4243765,0.08701939746906218,0.5677228310163731,0.16885829,0.86464775,0.0758636141256232,0.5922103086383017,0.91592205,0.40649715,3,1810,James Madison
21,0.1265028775941366,0.37806555101393036,0.10155609,0.422691,0.10211486083902982,0.6723025015218362,0.107263535,0.8906408,0.09830634009857697,0.6602764225617109,0.93687207,0.37641516,3,1811,James Madison
22,0.1178621220201761,0.3757811490795878,0.113107175,0.34364748,0.12199624595465763,0.7857397624398259,0.036194205,0.8465748,0.12380139765214182,0.8038237048772305,0.9940156,0.38363358,3,1812,James Madison
23,0.09247622983214532,0.3654008968117958,0.11340028,0.34303832,0.16654471919239916,0.8415267938641363,0.034255207,0.8455304,0.15826935759152344,0.8768600674560061,0.99576974,0.38349506,3,1813,James Madison
24,0.17428491685251007,0.38197161946612035,0.11820188,0.33103573,0.21834224434507066,0.8795453289583468,0.03001669,0.8423468,0.20990714062773957,0.8877883472711137,1.0,0.38313773,3,1814,James Madison
25,0.042813422910639554,0.4798706394673501,0.15526733,0.3913915,0.15495779191998676,0.4969269192489993,0.24046189,0.8650348,0.16203710068633248,0.5489722540463834,0.8706648,0.44775906,3,1815,James Madison
26,0.06038704678333967,0.43278028647101907,0.14566204,0.40274656,0.1411508691379189,0.47518176587377586,0.26500612,0.88164693,0.15652439692677422,0.5284923303455431,0.8589461,0.46098188,3,1816,James Madison
27,0.10560542083352875,0.3858964212528436,0.037181497,0.48009154,0.09898160705002051,0.5809734704235743,0.173446,0.8213531,0.0882939053263001,0.6106288931906247,0.89026636,0.43718857,4,1817,James Monroe
28,0.10710961658166673,0.32730443911292756,0.027837068,0.424594,0.04874948871791884,0.7114928554035128,0.1720632,0.75113165,0.016697382481674405,0.7234623858755889,0.938179,0.53568625,4,1818,James Monroe
29,0.07748635569727497,0.30490638405498716,0.035066843,0.4140595,0.0,0.6923225334857007,0.17788503,0.7404518,0.0008398580174018844,0.6853311531803042,0.9384207,0.535872,4,1819,James Monroe
30,0.12652208369148438,0.3732790004910296,0.018501073,0.4603603,0.14073752931721345,0.5797602935991238,0.18983755,0.8116641,0.11031963274938639,0.6096500879590658,0.8880433,0.39988172,4,1820,James Monroe
31,0.043167173785362,0.35027241421612276,0.05848503,0.43060452,0.00922321446556984,0.5962575069265232,0.19614571,0.77936924,0.0,0.5945043626642845,0.8758151,0.38503456,4,1821,James Monroe
32,0.08888256655100946,0.36597571823264285,0.03577596,0.45226446,0.10958081254796126,0.5944491581185785,0.19731474,0.84874666,0.08504971748089729,0.6231503028499356,0.8964005,0.42312938,4,1822,James Monroe
33,0.08534165302235369,0.39451381710370315,0.048233986,0.4539634,0.1211180291830371,0.6262676082262434,0.19546407,0.8379599,0.05919452730260499,0.6250570698882935,0.8929138,0.41267097,4,1823,James Monroe
34,0.1212014206770014,0.368959331395471,0.037774146,0.45953253,0.11736195998861676,0.6177518802298243,0.19101098,0.83726263,0.0910083974728419,0.6351882212156279,0.88966644,0.41851205,4,1824,James Monroe
35,0.05597892288196543,0.4688061585406707,0.21080455,0.3680104,0.11068737313918031,0.5530759223553119,0.22376406,0.83700216,0.0990702963412099,0.5755687388219187,0.87163746,0.42045185,5,1825,John Quincy Adams
36,0.06736038461160931,0.42153053146052416,0.22083843,0.357091,0.04318246815426474,0.5807267042615074,0.22544628,0.80186677,0.05005802716081276,0.5798067660414924,0.851895,0.39880162,5,1826,John Quincy Adams
37,0.0,0.4350441917801444,0.2182244,0.35912174,0.05306165824280695,0.585686495314743,0.22272709,0.8118761,0.04101994838781531,0.578291739675183,0.85390234,0.40425223,5,1827,John Quincy Adams
38,0.031102238210681976,0.4696061587440783,0.2142111,0.36457473,0.08812499530301038,0.5159569571750463,0.22604904,0.80738735,0.07829823250181894,0.519926201213349,0.8585472,0.40090132,5,1828,John Quincy Adams
39,0.09488875114976225,0.4263999694992256,0.11379269,0.5352983,0.12767694983340067,0.4539646547290223,0.28965342,0.897576,0.09614495856798749,0.4811009203045141,0.83329606,0.4672497,6,1829,Andrew Jackson
40,0.09407705402917721,0.4044468622937954,0.11643967,0.52726144,0.12126976445807475,0.44430807521488525,0.28940994,0.9015391,0.1182290536815151,0.48196478214751326,0.8365251,0.46757993,6,1830,Andrew Jackson
41,0.13906229007988274,0.37856541173922786,0.052774876,0.5277863,0.06397931443769711,0.6114570028721916,0.17893282,0.89514136,0.06218321521114789,0.6094490933661849,0.85058784,0.42823967,6,1831,Andrew Jackson
42,0.13086573723057482,0.40781294797154366,0.07979384,0.5310798,0.1295963965486776,0.4771356501390779,0.27551782,0.9049618,0.11056852482477131,0.5126950500433592,0.8418139,0.46487126,6,1832,Andrew Jackson
43,0.04258202634450686,0.36944106035819124,0.11354473,0.4844949,0.07236400287854966,0.4968423509669298,0.28676566,0.96827865,0.04533002615967008,0.4902834791965432,0.8056699,0.41502115,6,1833,Andrew Jackson
44,0.07371003249701136,0.4102506131634384,0.11885461,0.50166935,0.07885103054615439,0.46925771094208635,0.29503044,0.9645438,0.06553876612115117,0.49809489701772763,0.8084172,0.42593133,6,1834,Andrew Jackson
45,0.08285089630291165,0.37962010390858486,0.11579564,0.49716145,0.07302110768108572,0.5113504895185522,0.2948665,0.9707253,0.06869573617448826,0.5425580791060804,0.8081983,0.4230175,6,1835,Andrew Jackson
46,0.07419139304819089,0.41721255612853847,0.13056031,0.52170235,0.12458821845209522,0.34545729451993745,0.34651977,0.93548334,0.09779660783187866,0.3920257580270893,0.778288,0.4468034,6,1836,Andrew Jackson
47,0.06883746206756741,0.42376728755458165,0.14576915,0.5269882,0.07108402717640727,0.38895536004766795,0.33248425,0.90791273,0.06722238196352298,0.43696640040123536,0.807975,0.46876362,7,1837,Martin Van Buren
48,0.06332615542497816,0.43484234318413606,0.15340042,0.5204625,0.05676534090095575,0.4528468325625691,0.33256567,0.91056406,0.0701012511161817,0.5028980406944393,0.80592954,0.4656911,7,1838,Martin Van Buren
49,0.12712578743095326,0.4257727079999805,0.13509479,0.53887296,0.08263884573377622,0.2989065131670978,0.35017,0.9508108,0.1376063310425497,0.40255023968838677,0.7691344,0.45195973,7,1839,Martin Van Buren
